text,retweet_count,like_count,quote_count,processed_text,vectorized_processed_text,score,rounded_score
2021-11-09T22:48:59.000Z,1,0,0,['2021-11-09t22:48:59.000z'],[0 0 0 ... 0 0 0],1,0
1458817444110385153,33,0,0,['1458817444110385153'],[0 0 0 ... 0 0 0],33,35
1458796721996279812,0,0,0,['1458796721996279812'],[0 0 0 ... 0 0 0],0,0
2021-11-11T18:00:03.000Z,0,0,0,['2021-11-11t18:00:03.000z'],[0 0 0 ... 0 0 0],0,0
2021-11-09T18:43:58.000Z,0,0,0,['2021-11-09t18:43:58.000z'],[0 0 0 ... 0 0 0],0,0
1458870776472424454,1,0,0,['1458870776472424454'],[0 0 0 ... 0 0 0],1,0
2021-11-11T18:57:22.000Z,377,0,0,['2021-11-11t18:57:22.000z'],[0 0 0 ... 0 0 0],377,375
1334480223950270464,0,0,0,['1334480223950270464'],[0 0 0 ... 0 0 0],0,0
Nektar Therapeutics Expected to Post FY2021 Earnings of -$2.89 Per Share $NKTR https://t.co/rKRrEAm9n8 #markets,0,0,0,"['nektar', 'therapeut', 'expect', 'post', 'fy2021', 'earn', '-', '$', '2.89', 'per', 'share', '$', 'nktr', 'http', ':', '//t.co/rkrream9n8', '#', 'market']",[1 0 0 ... 0 0 0],0,0
"WYNN Stock | Wynn Resorts, Limited Q3 2021 Earnings Call

https://t.co/wKCUxSXbgz",0,0,0,"['wynn', 'stock', '|', 'wynn', 'resort', ',', 'limit', 'q3', '2021', 'earn', 'call', 'http', ':', '//t.co/wkcuxsxbgz']",[0 1 0 ... 0 0 0],0,0
2021-11-11T18:19:39.000Z,0,1,0,['2021-11-11t18:19:39.000z'],[0 0 0 ... 0 0 0],1,0
RT @ACSCANCT: Thanks to the sponsors that supported our #CTPolicyForum Platinum: @bmsnews Gold: @Amgen @Boehringer @FoundationATCG @Hartfor…,1,0,0,"['rt', '@', 'acscanct', ':', 'thank', 'sponsor', 'support', '#', 'ctpolicyforum', 'platinum', ':', '@', 'bmsnew', 'gold', ':', '@', 'amgen', '@', 'boehring', '@', 'foundationatcg', '@', 'hartfor…']",[1 0 0 ... 0 0 0],1,0
2021-11-11T09:51:13.000Z,0,0,0,['2021-11-11t09:51:13.000z'],[0 0 0 ... 0 0 0],0,0
1458871478615568384,2,0,0,['1458871478615568384'],[0 0 0 ... 0 0 1],2,0
"@Amgen @USMC Must celebrate the great ones!!!
She is great, graceful and powerfully engaged!!
Thanks Sunny.
Honoring Veterans Day!

#AmgenCelebratesVets",0,1,0,"['@', 'amgen', '@', 'usmc', 'must', 'celebr', 'great', 'one', '!', '!', '!', 'she', 'great', ',', 'grace', 'power', 'engag', '!', '!', 'thank', 'sunni', '.', 'honor', 'veteran', 'day', '!', '#', 'amgencelebratesvet']",[1 1 0 ... 0 0 0],1,0
12241142,11,0,0,['12241142'],[0 0 0 ... 0 0 0],11,10
1458871461951815686,0,0,0,['1458871461951815686'],[0 0 0 ... 0 0 0],0,0
